Trading_Code,Date,Open,High,Low,Close,Volume
BESTHLDNG,2024-05-26,33.4,34.0,32.5,33.4,2048897.0
BESTHLDNG,2024-05-23,33.8,34.3,33.1,33.4,2029181.0
BESTHLDNG,2024-05-21,35.0,36.1,34.0,34.1,3847350.0
BESTHLDNG,2024-05-20,35.4,35.5,34.6,35.0,2713507.0
BESTHLDNG,2024-05-19,36.8,36.8,35.6,35.6,1567126.0
BESTHLDNG,2024-05-16,37.0,37.6,36.2,36.6,2888733.0
BESTHLDNG,2024-05-15,37.7,37.7,37.1,37.1,3832011.0
BESTHLDNG,2024-05-14,38.2,39.5,38.2,38.2,3930799.0
BESTHLDNG,2024-05-13,40.0,40.7,39.3,39.3,7102750.0
BESTHLDNG,2024-05-12,39.4,41.8,39.4,40.5,11317422.0
BESTHLDNG,2024-05-09,38.9,40.0,37.9,39.1,8333828.0
BESTHLDNG,2024-05-08,39.8,40.4,38.6,38.8,6353772.0
BESTHLDNG,2024-05-07,36.6,40.2,36.6,39.7,14238507.0
BESTHLDNG,2024-05-06,37.2,37.3,36.4,36.6,4956169.0
BESTHLDNG,2024-05-05,37.4,38.2,36.8,37.0,4742755.0
BESTHLDNG,2024-05-02,35.8,37.3,35.4,37.1,4340359.0
BESTHLDNG,2024-04-30,35.5,36.4,35.1,35.3,4340355.0
BESTHLDNG,2024-04-29,35.2,35.9,34.5,34.8,2916192.0
BESTHLDNG,2024-04-28,34.6,35.6,33.5,35.2,2084741.0
BESTHLDNG,2024-04-25,35.0,35.6,34.2,34.3,3095860.0
BESTHLDNG,2024-04-24,36.9,36.9,34.8,35.2,4240643.0
BESTHLDNG,2024-04-23,36.8,37.8,36.6,36.7,5085040.0
BESTHLDNG,2024-04-22,36.9,37.2,36.3,36.7,4201736.0
BESTHLDNG,2024-04-21,38.0,38.1,36.5,36.7,2964650.0
BESTHLDNG,2024-04-18,36.4,39.0,36.0,37.8,8794671.0
BESTHLDNG,2024-04-17,36.8,37.5,36.2,36.4,3765077.0
BESTHLDNG,2024-04-16,36.0,36.9,35.6,36.4,2457954.0
BESTHLDNG,2024-04-15,36.7,37.2,35.6,35.8,1693972.0
BESTHLDNG,2024-04-09,37.3,37.3,36.6,36.7,2447977.0
BESTHLDNG,2024-04-08,36.7,37.4,36.7,37.0,2073859.0
BESTHLDNG,2024-04-04,36.6,36.7,36.2,36.5,1189599.0
BESTHLDNG,2024-04-03,36.8,37.0,36.3,36.5,1724178.0
BESTHLDNG,2024-04-02,35.8,36.7,35.3,36.2,2462825.0
BESTHLDNG,2024-04-01,36.9,37.2,35.7,35.8,2374631.0
BESTHLDNG,2024-03-31,38.0,38.0,36.7,36.9,3152256.0
BESTHLDNG,2024-03-28,36.9,37.6,35.9,37.0,3623442.0
BESTHLDNG,2024-03-27,37.5,37.7,36.2,36.4,3788729.0
BESTHLDNG,2024-03-25,38.2,38.6,37.1,37.3,3780940.0
BESTHLDNG,2024-03-24,40.0,41.3,37.6,38.0,7858982.0
BESTHLDNG,2024-03-21,38.2,40.9,37.8,39.6,7578593.0
BESTHLDNG,2024-03-20,35.3,38.1,35.2,37.7,2844052.0
BESTHLDNG,2024-03-19,36.2,36.4,34.9,35.1,3487352.0
BESTHLDNG,2024-03-18,37.8,38.1,36.0,36.2,3213044.0
BESTHLDNG,2024-03-14,38.1,38.3,37.6,37.8,2585694.0
BESTHLDNG,2024-03-13,38.2,38.4,37.6,37.9,2513344.0
BESTHLDNG,2024-03-12,38.3,38.9,37.7,37.9,3395867.0
BESTHLDNG,2024-03-11,37.9,38.6,37.3,37.9,4070776.0
BESTHLDNG,2024-03-10,38.3,38.7,36.9,37.2,3219853.0
BESTHLDNG,2024-03-07,39.2,39.4,37.7,38.0,3966685.0
BESTHLDNG,2024-03-06,39.5,40.2,38.8,39.0,3732783.0
BESTHLDNG,2024-03-05,39.4,40.7,39.2,39.5,5687068.0
BESTHLDNG,2024-03-04,38.6,40.4,38.6,39.3,4348471.0
BESTHLDNG,2024-03-03,38.9,39.6,38.5,38.6,3749161.0
BESTHLDNG,2024-02-29,39.8,40.3,38.6,38.8,5665513.0
BESTHLDNG,2024-02-28,41.5,41.6,39.5,39.8,7877378.0
BESTHLDNG,2024-02-27,41.7,43.8,41.1,41.5,11872889.0
BESTHLDNG,2024-02-25,37.7,41.1,36.8,41.0,9998825.0
BESTHLDNG,2024-02-22,39.5,39.5,37.2,37.4,7162054.0
BESTHLDNG,2024-02-20,40.7,41.4,38.5,39.0,7846532.0
BESTHLDNG,2024-02-19,39.3,41.8,38.5,40.3,8913634.0
BESTHLDNG,2024-02-18,40.0,41.4,37.2,39.1,12466484.0
BESTHLDNG,2024-02-15,42.0,42.7,39.8,40.9,17684366.0
BESTHLDNG,2024-02-14,46.5,46.5,42.4,43.1,26701317.0
BESTHLDNG,2024-02-13,42.3,42.3,41.7,42.3,23507423.0
BESTHLDNG,2024-02-12,38.5,38.5,38.5,38.5,159239.0
BESTHLDNG,2024-02-11,35.0,35.0,35.0,35.0,59335.0
BESTHLDNG,2024-02-08,31.9,31.9,31.9,31.9,1504.0
BESTHLDNG,2024-02-07,29.0,29.0,29.0,29.0,13050.0
BESTHLDNG,2024-02-06,26.4,26.4,26.4,26.4,958.0
