Trading_Code,Date,Open,High,Low,Close,Volume
SKICL,2023-02-05,59.9,61.6,59.4,59.4,460876.0
SKICL,2023-02-05,59.9,61.6,59.4,59.4,460876.0
SKICL,2023-02-02,58.4,60.6,58.4,59.9,495382.0
SKICL,2023-02-02,58.4,60.6,58.4,59.9,495382.0
SKICL,2023-02-01,58.9,58.9,58.9,58.9,28950.0
SKICL,2023-02-01,58.9,58.9,58.9,58.9,28950.0
SKICL,2023-01-31,59.4,59.4,59.4,59.4,65028.0
SKICL,2023-01-31,59.4,59.4,59.4,59.4,65028.0
SKICL,2023-01-30,60.0,60.0,59.9,59.9,62640.0
SKICL,2023-01-30,60.0,60.0,59.9,59.9,62640.0
SKICL,2023-01-29,61.2,61.5,60.5,60.5,334740.0
SKICL,2023-01-29,61.2,61.5,60.5,60.5,334740.0
SKICL,2023-01-26,62.5,62.7,61.1,61.1,409603.0
SKICL,2023-01-26,62.5,62.7,61.1,61.1,409603.0
SKICL,2023-01-25,61.6,63.2,61.5,61.7,568896.0
SKICL,2023-01-25,61.6,63.2,61.5,61.7,568896.0
SKICL,2023-01-24,62.1,63.8,62.1,62.1,966722.0
SKICL,2023-01-24,62.1,63.8,62.1,62.1,966722.0
SKICL,2023-01-23,63.1,63.6,62.7,62.7,437828.0
SKICL,2023-01-23,63.1,63.6,62.7,62.7,437828.0
SKICL,2023-01-22,64.9,66.4,63.3,63.3,1276997.0
SKICL,2023-01-22,64.9,66.4,63.3,63.3,1276997.0
SKICL,2023-01-19,62.6,64.4,62.6,63.9,864960.0
SKICL,2023-01-19,62.6,64.4,62.6,63.9,864960.0
SKICL,2023-01-18,64.6,65.5,63.2,63.2,1861958.0
SKICL,2023-01-18,64.6,65.5,63.2,63.2,1861958.0
SKICL,2023-01-17,61.7,64.6,61.7,63.8,1371507.0
SKICL,2023-01-17,61.7,64.6,61.7,63.8,1371507.0
SKICL,2023-01-16,62.9,64.4,62.3,62.3,497508.0
SKICL,2023-01-16,62.9,64.4,62.3,62.3,497508.0
SKICL,2023-01-15,57.5,62.9,56.9,62.9,1851664.0
SKICL,2023-01-15,57.5,62.9,56.9,62.9,1851664.0
SKICL,2023-01-12,55.9,57.8,55.5,57.2,576050.0
SKICL,2023-01-12,55.9,57.8,55.5,57.2,576050.0
SKICL,2023-01-10,56.1,56.6,56.1,56.2,395383.0
SKICL,2023-01-10,56.1,56.6,56.1,56.2,395383.0
SKICL,2023-01-09,57.0,57.0,56.6,56.6,139241.0
SKICL,2023-01-09,57.0,57.0,56.6,56.6,139241.0
SKICL,2023-01-08,57.6,58.3,56.9,57.1,256888.0
SKICL,2023-01-08,57.6,58.3,56.9,57.1,256888.0
SKICL,2023-01-05,56.6,57.8,56.4,57.4,294674.0
SKICL,2023-01-05,56.6,57.8,56.4,57.4,294674.0
SKICL,2023-01-04,56.5,57.3,55.7,56.9,196213.0
SKICL,2023-01-04,56.5,57.3,55.7,56.9,196213.0
SKICL,2023-01-03,56.1,56.8,56.1,56.2,191328.0
SKICL,2023-01-03,56.1,56.8,56.1,56.2,191328.0
SKICL,2023-01-02,57.0,57.0,56.6,56.6,43746.0
SKICL,2023-01-02,57.0,57.0,56.6,56.6,43746.0
SKICL,2023-01-01,57.2,57.6,57.1,57.1,176690.0
SKICL,2023-01-01,57.2,57.6,57.1,57.1,176690.0
SKICL,2022-12-29,56.2,58.0,56.0,57.6,385000.0
SKICL,2022-12-29,56.2,58.0,56.0,57.6,385000.0
SKICL,2022-12-28,55.5,56.5,54.0,56.2,318354.0
SKICL,2022-12-28,55.5,56.5,54.0,56.2,318354.0
SKICL,2022-12-27,54.7,54.8,54.5,54.5,82034.0
SKICL,2022-12-27,54.7,54.8,54.5,54.5,82034.0
SKICL,2022-12-26,55.5,55.9,55.0,55.0,105482.0
SKICL,2022-12-26,55.5,55.9,55.0,55.0,105482.0
SKICL,2022-12-22,54.0,56.0,52.4,55.5,263642.0
SKICL,2022-12-22,54.0,56.0,52.4,55.5,263642.0
SKICL,2022-12-21,55.2,55.5,50.1,52.8,147224.0
SKICL,2022-12-21,55.2,55.5,50.1,52.8,147224.0
SKICL,2022-12-20,55.1,56.7,54.8,55.2,178327.0
SKICL,2022-12-20,55.1,56.7,54.8,55.2,178327.0
SKICL,2022-12-19,56.9,56.9,56.4,56.6,116250.0
SKICL,2022-12-19,56.9,56.9,56.4,56.6,116250.0
SKICL,2022-12-18,56.7,57.0,56.1,56.8,224591.0
SKICL,2022-12-18,56.7,57.0,56.1,56.8,224591.0
SKICL,2022-12-15,57.3,57.8,56.4,56.8,197123.0
SKICL,2022-12-15,57.3,57.8,56.4,56.8,197123.0
SKICL,2022-12-14,58.0,58.6,57.6,57.7,144044.0
SKICL,2022-12-14,58.0,58.6,57.6,57.7,144044.0
SKICL,2022-12-13,58.8,59.5,58.2,58.4,410007.0
SKICL,2022-12-13,58.8,59.5,58.2,58.4,410007.0
SKICL,2022-12-12,58.6,59.7,58.4,59.0,454442.0
SKICL,2022-12-12,58.6,59.7,58.4,59.0,454442.0
SKICL,2022-12-11,57.5,58.6,57.5,58.1,298409.0
SKICL,2022-12-11,57.5,58.6,57.5,58.1,298409.0
SKICL,2022-12-08,57.2,58.0,57.1,57.5,237010.0
SKICL,2022-12-08,57.2,58.0,57.1,57.5,237010.0
SKICL,2022-12-07,51.2,51.7,50.2,50.2,75420.0
SKICL,2022-12-07,58.8,59.1,57.6,58.0,387244.0
SKICL,2022-12-07,58.8,59.1,57.6,58.0,387244.0
SKICL,2022-12-06,58.0,58.8,56.9,58.2,308585.0
SKICL,2022-12-06,58.0,58.8,56.9,58.2,308585.0
SKICL,2022-12-06,54.0,54.9,53.4,53.4,84030.0
SKICL,2022-12-05,57.2,58.4,56.3,57.0,434837.0
SKICL,2022-12-05,54.6,55.4,53.6,53.8,219859.0
SKICL,2022-12-05,57.2,58.4,56.3,57.0,434837.0
SKICL,2022-12-04,59.3,61.4,57.2,57.9,1028074.0
SKICL,2022-12-04,54.7,55.4,54.1,54.2,144590.0
SKICL,2022-12-04,59.3,61.4,57.2,57.9,1028074.0
SKICL,2022-12-01,76.6,77.9,75.4,75.6,571993.0
SKICL,2022-12-01,56.0,60.4,56.0,59.1,1384439.0
SKICL,2022-12-01,56.0,60.4,56.0,59.1,1384439.0
SKICL,2022-11-30,55.7,58.1,55.3,56.5,792403.0
SKICL,2022-11-30,55.7,58.1,55.3,56.5,792403.0
SKICL,2022-11-29,52.8,56.1,51.5,55.5,504139.0
SKICL,2022-11-29,52.8,56.1,51.5,55.5,504139.0
SKICL,2022-11-28,55.8,56.0,52.7,52.8,530544.0
SKICL,2022-11-28,55.8,56.0,52.7,52.8,530544.0
SKICL,2022-11-27,55.5,56.6,55.1,55.7,286843.0
SKICL,2022-11-27,55.5,56.6,55.1,55.7,286843.0
SKICL,2022-11-24,54.0,55.7,54.0,55.4,285496.0
SKICL,2022-11-24,54.0,55.7,54.0,55.4,285496.0
SKICL,2022-11-23,56.7,57.5,53.9,54.5,484842.0
SKICL,2022-11-23,56.7,57.5,53.9,54.5,484842.0
SKICL,2022-11-22,54.8,57.3,54.8,56.5,375928.0
SKICL,2022-11-22,54.8,57.3,54.8,56.5,375928.0
SKICL,2022-11-21,56.5,56.6,53.5,54.6,415160.0
SKICL,2022-11-21,56.5,56.6,53.5,54.6,415160.0
SKICL,2022-11-20,56.4,58.4,55.6,56.7,603970.0
SKICL,2022-11-20,56.4,58.4,55.6,56.7,603970.0
SKICL,2022-11-17,54.8,58.6,54.1,56.4,806225.0
SKICL,2022-11-17,54.8,58.6,54.1,56.4,806225.0
SKICL,2022-11-16,53.0,55.7,50.5,54.7,418081.0
SKICL,2022-11-16,53.0,55.7,50.5,54.7,418081.0
SKICL,2022-11-15,54.6,54.6,49.8,51.4,531715.0
SKICL,2022-11-15,54.6,54.6,49.8,51.4,531715.0
SKICL,2022-11-14,53.0,55.7,52.3,53.5,599691.0
SKICL,2022-11-14,53.0,55.7,52.3,53.5,599691.0
SKICL,2022-11-13,57.1,58.0,52.5,52.9,551803.0
SKICL,2022-11-13,57.1,58.0,52.5,52.9,551803.0
SKICL,2022-11-10,58.9,60.6,56.2,57.1,646858.0
SKICL,2022-11-10,58.9,60.6,56.2,57.1,646858.0
SKICL,2022-11-09,60.0,61.0,58.2,58.7,625129.0
SKICL,2022-11-09,60.0,61.0,58.2,58.7,625129.0
SKICL,2022-11-08,58.1,61.7,57.6,58.5,868931.0
SKICL,2022-11-08,58.1,61.7,57.6,58.5,868931.0
SKICL,2022-11-07,62.0,62.8,58.0,58.3,988335.0
SKICL,2022-11-07,62.0,62.8,58.0,58.3,988335.0
SKICL,2022-11-06,59.7,64.8,59.6,61.5,1278588.0
SKICL,2022-11-06,59.7,64.8,59.6,61.5,1278588.0
SKICL,2022-11-05,56.1,57.0,54.5,54.7,174343.0
SKICL,2022-11-04,55.1,56.3,55.1,55.2,95143.0
SKICL,2022-11-03,63.4,63.4,59.6,60.3,1627109.0
SKICL,2022-11-03,63.4,63.4,59.6,60.3,1627109.0
SKICL,2022-11-02,62.0,64.9,61.2,63.7,2232794.0
SKICL,2022-11-02,62.0,64.9,61.2,63.7,2232794.0
SKICL,2022-11-01,54.0,60.7,52.2,60.7,1793350.0
SKICL,2022-11-01,76.5,78.4,76.0,76.2,713955.0
SKICL,2022-11-01,54.0,60.7,52.2,60.7,1793350.0
SKICL,2022-10-31,59.2,60.3,54.4,55.2,1729107.0
SKICL,2022-10-31,59.2,60.3,54.4,55.2,1729107.0
SKICL,2022-10-30,58.8,64.1,58.0,60.4,2323749.0
SKICL,2022-10-30,58.8,64.1,58.0,60.4,2323749.0
SKICL,2022-10-27,53.1,58.6,52.6,58.6,2172535.0
SKICL,2022-10-27,53.1,58.6,52.6,58.6,2172535.0
SKICL,2022-10-26,53.6,53.8,51.4,53.3,1442077.0
SKICL,2022-10-26,53.6,53.8,51.4,53.3,1442077.0
SKICL,2022-10-25,48.3,53.0,48.3,52.4,808917.0
SKICL,2022-10-25,48.3,53.0,48.3,52.4,808917.0
SKICL,2022-10-24,47.6,49.5,47.3,48.3,113051.0
SKICL,2022-10-24,47.6,49.5,47.3,48.3,113051.0
SKICL,2022-10-23,50.0,50.0,47.2,47.9,175823.0
SKICL,2022-10-23,50.0,50.0,47.2,47.9,175823.0
SKICL,2022-10-20,46.6,48.6,46.6,48.1,156606.0
SKICL,2022-10-20,46.6,48.6,46.6,48.1,156606.0
SKICL,2022-10-19,48.3,49.0,47.5,47.7,203578.0
SKICL,2022-10-19,48.3,49.0,47.5,47.7,203578.0
SKICL,2022-10-18,50.0,51.4,46.1,48.9,415519.0
SKICL,2022-10-18,50.0,51.4,46.1,48.9,415519.0
SKICL,2022-10-17,52.5,53.8,49.5,50.7,716955.0
SKICL,2022-10-17,52.5,53.8,49.5,50.7,716955.0
SKICL,2022-10-16,51.9,55.0,51.8,53.0,1546146.0
SKICL,2022-10-16,51.9,55.0,51.8,53.0,1546146.0
SKICL,2022-10-13,46.1,50.7,46.1,50.7,677769.0
SKICL,2022-10-13,46.1,50.7,46.1,50.7,677769.0
SKICL,2022-10-12,46.1,46.7,46.1,46.1,219122.0
SKICL,2022-10-12,46.1,46.7,46.1,46.1,219122.0
SKICL,2022-10-11,47.9,47.9,46.1,46.1,53126.0
SKICL,2022-10-11,47.9,47.9,46.1,46.1,53126.0
SKICL,2022-10-10,46.1,47.0,46.1,46.1,85469.0
SKICL,2022-10-10,46.1,47.0,46.1,46.1,85469.0
SKICL,2022-10-06,46.4,46.4,46.1,46.1,137779.0
SKICL,2022-10-06,46.4,46.4,46.1,46.1,137779.0
SKICL,2022-10-05,56.5,58.2,56.0,56.5,424063.0
SKICL,2022-10-04,46.6,46.9,46.1,46.1,197409.0
SKICL,2022-10-04,46.6,46.9,46.1,46.1,197409.0
SKICL,2022-10-04,56.2,56.8,55.1,55.4,159691.0
SKICL,2022-10-03,58.8,62.3,58.6,61.0,734322.0
SKICL,2022-10-03,47.8,47.8,46.5,46.6,114434.0
SKICL,2022-10-03,47.8,47.8,46.5,46.6,114434.0
SKICL,2022-10-02,47.1,47.9,46.8,46.9,197689.0
SKICL,2022-10-02,74.6,75.3,74.3,74.5,217163.0
SKICL,2022-10-02,47.1,47.9,46.8,46.9,197689.0
SKICL,2022-10-01,77.5,78.5,75.3,75.9,829485.0
SKICL,2022-09-29,47.0,47.5,46.7,47.1,107236.0
SKICL,2022-09-29,47.0,47.5,46.7,47.1,107236.0
SKICL,2022-09-28,46.7,47.7,46.7,46.9,164176.0
SKICL,2022-09-28,46.7,47.7,46.7,46.9,164176.0
SKICL,2022-09-27,47.2,47.9,46.7,46.9,141426.0
SKICL,2022-09-27,47.2,47.9,46.7,46.9,141426.0
SKICL,2022-09-26,47.2,48.1,47.0,47.6,86264.0
SKICL,2022-09-26,47.2,48.1,47.0,47.6,86264.0
SKICL,2022-09-25,47.2,48.1,47.2,47.3,142430.0
SKICL,2022-09-25,47.2,48.1,47.2,47.3,142430.0
SKICL,2022-09-22,47.1,48.2,46.9,47.9,148591.0
SKICL,2022-09-22,47.1,48.2,46.9,47.9,148591.0
SKICL,2022-09-21,47.0,49.9,47.0,47.1,257783.0
SKICL,2022-09-21,47.0,49.9,47.0,47.1,257783.0
SKICL,2022-09-20,49.2,50.0,48.2,48.3,236726.0
SKICL,2022-09-20,49.2,50.0,48.2,48.3,236726.0
SKICL,2022-09-19,50.4,51.4,49.1,49.2,203523.0
SKICL,2022-09-19,50.4,51.4,49.1,49.2,203523.0
SKICL,2022-09-18,49.0,52.0,49.0,50.4,375553.0
SKICL,2022-09-18,49.0,52.0,49.0,50.4,375553.0
SKICL,2022-09-15,48.2,49.5,48.1,49.1,120750.0
SKICL,2022-09-15,48.2,49.5,48.1,49.1,120750.0
SKICL,2022-09-14,48.2,49.0,48.2,48.4,100370.0
SKICL,2022-09-14,48.2,49.0,48.2,48.4,100370.0
SKICL,2022-09-13,47.8,49.1,47.8,48.9,69651.0
SKICL,2022-09-13,47.8,49.1,47.8,48.9,69651.0
SKICL,2022-09-12,48.9,49.5,48.1,48.7,58244.0
SKICL,2022-09-12,48.9,49.5,48.1,48.7,58244.0
SKICL,2022-09-11,48.5,49.1,48.2,48.4,97919.0
SKICL,2022-09-11,48.5,49.1,48.2,48.4,97919.0
SKICL,2022-09-08,49.5,51.0,48.5,49.0,179512.0
SKICL,2022-09-08,49.5,51.0,48.5,49.0,179512.0
SKICL,2022-09-07,49.3,50.3,49.1,49.5,183567.0
SKICL,2022-09-07,49.3,50.3,49.1,49.5,183567.0
SKICL,2022-09-06,50.0,50.7,49.0,49.6,88747.0
SKICL,2022-09-06,54.4,55.0,54.4,54.4,154350.0
SKICL,2022-09-06,50.0,50.7,49.0,49.6,88747.0
SKICL,2022-09-05,49.3,50.6,49.3,50.2,165587.0
SKICL,2022-09-05,54.5,56.5,54.5,55.9,239690.0
SKICL,2022-09-05,49.3,50.6,49.3,50.2,165587.0
SKICL,2022-09-04,49.1,53.0,49.1,50.0,230347.0
SKICL,2022-09-04,49.1,53.0,49.1,50.0,230347.0
SKICL,2022-09-03,55.5,59.1,54.5,58.0,432600.0
SKICL,2022-09-02,74.6,76.2,74.3,74.5,324312.0
SKICL,2022-09-01,50.7,53.0,50.7,52.4,300100.0
SKICL,2022-09-01,50.7,53.0,50.7,52.4,300100.0
SKICL,2022-09-01,79.4,80.4,76.9,77.2,719039.0
SKICL,2022-08-31,50.0,52.5,50.0,52.0,342765.0
SKICL,2022-08-31,50.0,52.5,50.0,52.0,342765.0
SKICL,2022-08-30,50.0,51.4,49.7,50.6,200796.0
SKICL,2022-08-30,50.0,51.4,49.7,50.6,200796.0
SKICL,2022-08-29,50.6,52.2,50.0,50.1,291092.0
SKICL,2022-08-29,50.6,52.2,50.0,50.1,291092.0
SKICL,2022-08-28,48.7,51.0,48.7,50.6,393735.0
SKICL,2022-08-28,48.7,51.0,48.7,50.6,393735.0
SKICL,2022-08-25,47.3,49.0,46.7,48.7,166508.0
SKICL,2022-08-25,47.3,49.0,46.7,48.7,166508.0
SKICL,2022-08-24,47.3,48.0,47.3,47.3,102219.0
SKICL,2022-08-24,47.3,48.0,47.3,47.3,102219.0
SKICL,2022-08-23,48.1,48.4,47.3,47.9,236339.0
SKICL,2022-08-23,48.1,48.4,47.3,47.9,236339.0
SKICL,2022-08-22,47.5,48.5,47.5,48.1,121324.0
SKICL,2022-08-22,47.5,48.5,47.5,48.1,121324.0
SKICL,2022-08-21,47.8,49.4,47.7,47.9,153986.0
SKICL,2022-08-21,47.8,49.4,47.7,47.9,153986.0
SKICL,2022-08-17,48.0,49.4,47.2,48.5,166977.0
SKICL,2022-08-17,48.0,49.4,47.2,48.5,166977.0
SKICL,2022-08-16,47.0,47.9,47.0,47.3,98455.0
SKICL,2022-08-16,47.0,47.9,47.0,47.3,98455.0
SKICL,2022-08-14,46.7,47.2,46.5,46.7,48665.0
SKICL,2022-08-14,46.7,47.2,46.5,46.7,48665.0
SKICL,2022-08-11,47.9,47.9,46.2,46.7,36251.0
SKICL,2022-08-11,47.9,47.9,46.2,46.7,36251.0
SKICL,2022-08-10,47.1,48.7,47.1,47.2,53627.0
SKICL,2022-08-10,47.1,48.7,47.1,47.2,53627.0
SKICL,2022-08-08,47.5,49.6,47.5,47.9,109609.0
SKICL,2022-08-08,47.5,49.6,47.5,47.9,109609.0
SKICL,2022-08-07,49.5,50.0,47.9,48.4,130179.0
SKICL,2022-08-07,49.5,50.0,47.9,48.4,130179.0
SKICL,2022-08-06,56.0,57.0,55.5,55.5,310815.0
SKICL,2022-08-05,53.6,55.2,53.3,54.5,212053.0
SKICL,2022-08-04,51.0,51.0,49.0,50.0,96178.0
SKICL,2022-08-04,51.0,51.0,49.0,50.0,96178.0
SKICL,2022-08-03,51.0,52.2,51.0,51.1,120460.0
SKICL,2022-08-03,54.0,54.8,51.6,54.0,283358.0
SKICL,2022-08-03,51.0,52.2,51.0,51.1,120460.0
SKICL,2022-08-02,49.3,52.4,48.8,51.9,437063.0
SKICL,2022-08-02,76.6,77.4,74.5,74.6,492766.0
SKICL,2022-08-02,49.3,52.4,48.8,51.9,437063.0
SKICL,2022-08-01,52.2,52.3,49.1,49.3,153475.0
SKICL,2022-08-01,52.2,52.3,49.1,49.3,153475.0
SKICL,2022-07-31,46.2,50.7,46.1,50.7,396726.0
SKICL,2022-07-31,46.2,50.7,46.1,50.7,396726.0
SKICL,2022-07-28,46.0,46.3,45.7,45.8,44743.0
SKICL,2022-07-28,46.0,46.3,45.7,45.8,44743.0
SKICL,2022-07-27,47.5,47.8,46.6,46.6,87142.0
SKICL,2022-07-27,47.5,47.8,46.6,46.6,87142.0
SKICL,2022-07-26,45.6,48.4,45.2,47.5,118868.0
SKICL,2022-07-26,45.6,48.4,45.2,47.5,118868.0
SKICL,2022-07-25,45.3,46.0,44.4,45.4,110621.0
SKICL,2022-07-25,45.3,46.0,44.4,45.4,110621.0
SKICL,2022-07-24,46.0,46.0,45.3,45.3,45853.0
SKICL,2022-07-24,46.0,46.0,45.3,45.3,45853.0
SKICL,2022-07-21,46.6,47.9,46.1,46.2,124824.0
SKICL,2022-07-21,46.6,47.9,46.1,46.2,124824.0
SKICL,2022-07-20,47.0,48.0,47.0,47.0,86654.0
SKICL,2022-07-20,47.0,48.0,47.0,47.0,86654.0
SKICL,2022-07-19,47.9,48.0,47.9,47.9,27022.0
SKICL,2022-07-19,47.9,48.0,47.9,47.9,27022.0
SKICL,2022-07-18,49.3,49.5,48.8,48.8,57955.0
SKICL,2022-07-18,49.3,49.5,48.8,48.8,57955.0
SKICL,2022-07-17,49.1,50.2,49.1,49.7,70126.0
SKICL,2022-07-14,50.9,51.0,49.9,50.1,103921.0
SKICL,2022-07-13,55.2,55.2,50.0,50.9,82079.0
SKICL,2022-07-07,50.8,51.8,50.8,51.2,50532.0
SKICL,2022-07-06,55.6,57.9,55.4,56.6,487192.0
SKICL,2022-07-04,55.9,55.9,54.8,55.2,94343.0
SKICL,2022-07-03,58.3,58.3,53.2,53.8,343793.0
SKICL,2022-07-02,75.0,77.2,74.4,76.0,657461.0
SKICL,2022-06-30,52.0,52.5,51.5,52.1,78013.0
SKICL,2022-06-29,51.7,52.7,51.7,52.1,105559.0
SKICL,2022-06-28,52.1,53.8,51.9,52.1,194481.0
SKICL,2022-06-27,51.1,53.1,50.8,52.9,161082.0
SKICL,2022-06-26,51.1,52.2,50.7,51.5,109924.0
SKICL,2022-06-23,50.7,51.8,50.7,51.4,93895.0
SKICL,2022-06-22,50.6,51.8,50.6,51.3,87351.0
SKICL,2022-06-21,51.6,51.7,50.6,50.7,113540.0
SKICL,2022-06-20,53.3,53.3,51.6,51.6,61067.0
SKICL,2022-06-19,53.0,53.7,52.6,52.6,97897.0
SKICL,2022-06-16,53.0,54.4,52.5,53.6,206684.0
SKICL,2022-06-15,52.6,53.9,52.5,53.3,135018.0
SKICL,2022-06-14,52.6,54.3,51.7,53.0,163836.0
SKICL,2022-06-13,52.5,53.0,52.4,52.4,152747.0
SKICL,2022-06-07,50.5,51.7,50.5,51.3,40041.0
SKICL,2022-06-06,53.5,58.0,53.5,56.5,755994.0
SKICL,2022-06-04,56.8,56.9,55.9,55.9,125171.0
SKICL,2022-06-03,58.6,59.3,57.3,57.5,197220.0
SKICL,2022-06-02,73.5,75.9,73.4,74.7,397098.0
SKICL,2022-06-01,81.3,81.3,78.8,78.9,923757.0
SKICL,2022-05-31,49.0,52.8,47.9,50.8,361685.0
SKICL,2022-05-30,46.6,49.1,46.6,48.8,241218.0
SKICL,2022-05-29,45.1,46.9,45.1,46.6,159541.0
SKICL,2022-05-26,44.3,45.2,44.0,44.7,73069.0
SKICL,2022-05-25,45.9,46.3,44.1,44.3,80134.0
SKICL,2022-05-24,47.0,47.2,45.2,45.9,102280.0
SKICL,2022-05-23,46.0,47.7,45.7,46.8,217752.0
SKICL,2022-05-19,47.2,47.3,45.5,46.5,146729.0
SKICL,2022-05-18,50.5,50.9,47.5,47.7,230258.0
SKICL,2022-05-17,51.2,52.4,48.8,49.8,118364.0
SKICL,2022-05-16,53.3,53.4,51.2,51.2,220350.0
SKICL,2022-05-07,50.9,52.3,50.9,51.3,110502.0
SKICL,2022-05-06,51.2,53.7,51.2,53.3,289066.0
SKICL,2022-05-05,54.4,54.4,53.0,53.6,78662.0
SKICL,2022-05-04,56.9,57.6,55.9,57.0,87275.0
SKICL,2022-05-01,80.4,81.4,78.8,80.4,1217054.0
SKICL,2022-04-28,55.0,55.5,53.9,54.1,149689.0
SKICL,2022-04-27,55.9,56.8,54.6,55.0,195193.0
SKICL,2022-04-26,57.4,58.2,56.0,56.4,271514.0
SKICL,2022-04-25,56.7,59.7,56.5,58.1,355197.0
SKICL,2022-04-24,53.7,57.8,53.0,57.5,399191.0
SKICL,2022-04-21,51.1,54.0,51.1,53.7,267464.0
SKICL,2022-04-20,53.5,54.3,52.5,53.8,147817.0
SKICL,2022-04-19,52.4,53.9,52.3,53.5,190998.0
SKICL,2022-04-18,54.3,54.5,53.3,53.3,99474.0
SKICL,2022-04-17,54.7,55.3,54.0,54.3,97844.0
SKICL,2022-04-13,54.2,54.8,53.2,54.0,127727.0
SKICL,2022-04-07,52.8,52.8,51.4,51.5,141622.0
SKICL,2022-04-04,57.6,58.4,57.0,57.0,187416.0
SKICL,2022-04-01,82.0,82.3,79.7,80.0,997671.0
SKICL,2022-03-31,61.0,61.7,59.0,59.2,256044.0
SKICL,2022-03-30,58.0,61.3,58.0,60.2,545170.0
SKICL,2022-03-29,58.2,58.5,57.8,58.0,152514.0
SKICL,2022-03-28,57.5,58.9,57.3,57.8,191065.0
SKICL,2022-03-27,58.5,58.5,56.8,56.9,188847.0
SKICL,2022-03-24,58.7,58.7,57.4,57.9,100626.0
SKICL,2022-03-23,58.5,59.1,57.8,57.8,253902.0
SKICL,2022-03-22,57.8,58.8,57.2,57.6,145954.0
SKICL,2022-03-21,58.0,59.2,57.2,57.7,208006.0
SKICL,2022-03-20,58.6,59.9,58.2,58.2,174107.0
SKICL,2022-03-16,59.6,60.5,59.1,59.3,242822.0
SKICL,2022-03-15,60.7,61.4,59.5,59.8,272995.0
SKICL,2022-03-14,60.6,62.2,60.3,60.6,404186.0
SKICL,2022-03-13,61.0,61.8,59.9,60.2,389064.0
SKICL,2022-03-07,51.8,52.8,51.7,52.4,65983.0
SKICL,2022-03-04,59.2,60.0,58.1,58.1,231546.0
SKICL,2022-03-03,58.5,59.5,57.5,58.5,187980.0
SKICL,2022-03-02,73.2,76.0,73.1,73.4,448848.0
SKICL,2022-03-01,79.1,83.9,79.1,81.4,1583351.0
SKICL,2022-02-28,57.3,60.0,57.3,58.5,261898.0
SKICL,2022-02-27,61.2,61.3,57.0,57.4,683153.0
SKICL,2022-02-24,65.0,65.0,61.0,61.5,798515.0
SKICL,2022-02-23,65.3,66.1,64.7,64.9,198253.0
SKICL,2022-02-22,64.6,66.0,64.5,65.2,249488.0
SKICL,2022-02-20,67.2,68.0,64.2,64.6,605811.0
SKICL,2022-02-17,69.2,70.1,66.8,67.2,520588.0
SKICL,2022-02-16,71.0,71.6,69.5,70.0,269964.0
SKICL,2022-02-15,71.7,72.2,70.6,70.9,210867.0
SKICL,2022-02-14,73.0,73.5,71.4,71.7,313340.0
SKICL,2022-02-13,74.5,74.7,72.3,72.7,396729.0
SKICL,2022-02-06,52.9,52.9,51.0,51.5,178676.0
SKICL,2022-02-03,59.5,59.9,58.1,58.6,247390.0
SKICL,2022-02-02,72.2,73.7,72.0,73.2,290024.0
SKICL,2022-02-01,78.0,78.9,77.3,78.5,759035.0
SKICL,2022-01-31,73.3,74.0,72.1,72.4,261931.0
SKICL,2022-01-30,71.5,74.0,71.1,73.0,408584.0
SKICL,2022-01-27,71.5,72.2,70.6,71.0,264906.0
SKICL,2022-01-26,72.7,73.4,71.0,71.4,338471.0
SKICL,2022-01-25,73.6,74.5,72.3,72.5,312594.0
SKICL,2022-01-24,75.8,76.0,73.0,73.5,282848.0
SKICL,2022-01-23,75.0,76.5,74.7,75.0,373472.0
SKICL,2022-01-20,75.8,75.8,74.2,74.5,375160.0
SKICL,2022-01-19,75.4,75.8,74.4,74.5,477027.0
SKICL,2022-01-18,76.3,76.8,75.0,75.2,457158.0
SKICL,2022-01-17,75.3,78.5,74.6,75.9,762512.0
SKICL,2022-01-16,76.3,76.9,74.4,74.8,594989.0
SKICL,2022-01-13,76.0,76.9,75.0,75.4,452048.0
SKICL,2022-01-06,50.8,52.9,50.0,51.9,205050.0
SKICL,2022-01-03,59.2,60.8,58.5,59.3,572560.0
SKICL,2022-01-02,72.7,73.3,71.5,72.0,219343.0
SKICL,2021-12-30,76.9,79.0,76.9,77.3,876234.0
SKICL,2021-12-29,78.0,79.0,76.0,76.4,961863.0
SKICL,2021-12-28,78.0,80.8,77.4,77.9,1016998.0
SKICL,2021-12-27,79.1,80.8,77.1,77.5,963079.0
SKICL,2021-12-26,84.0,84.0,78.1,78.7,1073901.0
SKICL,2021-12-23,85.0,86.8,82.7,83.1,1244382.0
SKICL,2021-12-22,82.3,85.7,80.8,84.9,1292452.0
SKICL,2021-12-21,86.0,86.4,81.8,82.0,1272837.0
SKICL,2021-12-20,86.6,88.8,85.7,86.0,1986963.0
SKICL,2021-12-19,82.0,87.8,82.0,85.6,1896811.0
SKICL,2021-12-15,80.0,84.1,79.0,81.7,1192540.0
SKICL,2021-12-14,84.0,87.9,79.5,80.3,2139673.0
SKICL,2021-12-13,74.9,82.2,74.5,82.2,1745148.0
SKICL,2021-12-12,78.6,80.0,74.4,74.8,1989327.0
SKICL,2021-11-30,54.2,54.2,54.2,54.2,74745.0
SKICL,2021-11-29,49.3,49.3,49.3,49.3,42907.0
